category,helpful_votes
field research,37
field research,12
user research,21
research repository,38
field research,5
user research,14
field research,23
usability testing,34
research repository,2
collaborative whiteboard,45
collaborative whiteboard,34
user research,5
field research,27
collaborative whiteboard,46
user research,0
usability testing,40
user research,33
user research,15
user research,8
collaborative whiteboard,27
user research,42
collaborative whiteboard,37
user research,3
field research,34
user research,6
collaborative whiteboard,43
field research,8
usability testing,6
user research,25
research repository,18
user research,47
usability testing,10
user research,15
user research,39
user research,16
usability testing,4
user research,15
research repository,33
user research,16
field research,43
usability testing,0
research repository,45
field research,9
field research,43
field research,15
research repository,26
research repository,24
collaborative whiteboard,19
research repository,25
field research,43
user research,11
usability testing,32
user research,0
user research,20
field research,44
research repository,43
research repository,19
collaborative whiteboard,43
collaborative whiteboard,32
user research,12
field research,4
user research,31
research repository,11
user research,29
collaborative whiteboard,27
user research,40
user research,15
usability testing,4
usability testing,44
user research,47
user research,21
collaborative whiteboard,34
collaborative whiteboard,11
collaborative whiteboard,16
collaborative whiteboard,14
field research,9
collaborative whiteboard,23
user research,19
field research,37
research repository,2
collaborative whiteboard,26
field research,11
usability testing,17
research repository,29
collaborative whiteboard,21
user research,46
user research,28
field research,35
collaborative whiteboard,16
research repository,12
collaborative whiteboard,12
usability testing,8
field research,6
user research,7
collaborative whiteboard,15
collaborative whiteboard,28
user research,47
research repository,10
collaborative whiteboard,4
usability testing,27
research repository,47
usability testing,32
collaborative whiteboard,16
research repository,43
user research,17
user research,22
usability testing,42
user research,0
user research,31
field research,18
collaborative whiteboard,35
collaborative whiteboard,9
usability testing,15
research repository,4
collaborative whiteboard,37
collaborative whiteboard,35
collaborative whiteboard,36
collaborative whiteboard,41
collaborative whiteboard,6
collaborative whiteboard,41
field research,41
usability testing,2
research repository,6
field research,20
usability testing,11
field research,37
collaborative whiteboard,18
research repository,19
collaborative whiteboard,44
collaborative whiteboard,18
research repository,16
research repository,23
field research,33
usability testing,47
field research,43
collaborative whiteboard,34
usability testing,23
research repository,4
collaborative whiteboard,31
research repository,47
user research,6
user research,28
research repository,22
usability testing,5
user research,4
user research,21
user research,7
field research,11
research repository,28
user research,33
field research,31
collaborative whiteboard,8
user research,18
user research,35
research repository,46
collaborative whiteboard,4
field research,3
user research,27
field research,9
research repository,27
user research,11
usability testing,25
field research,21
usability testing,9
user research,31
collaborative whiteboard,43
collaborative whiteboard,13
research repository,47
research repository,22
field research,27
collaborative whiteboard,39
usability testing,33
usability testing,32
user research,6
research repository,4
collaborative whiteboard,41
user research,40
usability testing,3
usability testing,29
field research,38
research repository,45
research repository,10
usability testing,40
field research,21
research repository,35
usability testing,23
usability testing,31
research repository,32
user research,11
user research,39
collaborative whiteboard,30
research repository,24
collaborative whiteboard,16
collaborative whiteboard,7
research repository,14
usability testing,5
field research,2
collaborative whiteboard,5
research repository,18
field research,31
field research,27
usability testing,42
user research,35
collaborative whiteboard,22
field research,41
collaborative whiteboard,45
collaborative whiteboard,20
user research,41
usability testing,47
collaborative whiteboard,33
field research,34
field research,10
usability testing,17
field research,10
research repository,23
user research,28
user research,1
collaborative whiteboard,39
collaborative whiteboard,28
collaborative whiteboard,35
usability testing,14
research repository,29
user research,26
field research,33
user research,7
usability testing,22
user research,8
user research,9
user research,2
field research,26
field research,43
collaborative whiteboard,29
user research,23
field research,3
collaborative whiteboard,20
usability testing,32
usability testing,13
field research,43
user research,23
field research,24
user research,21
usability testing,2
research repository,38
research repository,21
user research,43
collaborative whiteboard,41
user research,33
user research,2
field research,26
research repository,45
research repository,11
user research,15
usability testing,45
collaborative whiteboard,18
user research,18
field research,12
usability testing,15
user research,6
collaborative whiteboard,26
collaborative whiteboard,41
user research,26
research repository,47
usability testing,21
user research,7
collaborative whiteboard,43
research repository,20
field research,20
field research,17
usability testing,42
usability testing,45
field research,8
collaborative whiteboard,30
research repository,33
usability testing,9
user research,5
collaborative whiteboard,36
collaborative whiteboard,4
usability testing,30
collaborative whiteboard,46
collaborative whiteboard,24
user research,46
field research,27
research repository,17
field research,15
field research,15
collaborative whiteboard,8
usability testing,20
usability testing,33
usability testing,40
user research,44
research repository,19
research repository,35
collaborative whiteboard,41
collaborative whiteboard,3
user research,30
usability testing,47
collaborative whiteboard,15
usability testing,29
collaborative whiteboard,14
field research,46
research repository,36
collaborative whiteboard,10
usability testing,31
user research,26
research repository,39
user research,0
usability testing,27
research repository,16
usability testing,36
research repository,2
collaborative whiteboard,5
collaborative whiteboard,33
research repository,30
field research,11
usability testing,10
user research,32
usability testing,38
user research,14
collaborative whiteboard,39
research repository,20
field research,6
research repository,1
user research,18
field research,43
research repository,9
collaborative whiteboard,16
collaborative whiteboard,21
collaborative whiteboard,19
research repository,47
collaborative whiteboard,7
research repository,1
collaborative whiteboard,26
research repository,24
user research,34
usability testing,6
usability testing,36
collaborative whiteboard,32
user research,29
user research,6
field research,30
field research,1
field research,10
collaborative whiteboard,40
collaborative whiteboard,24
research repository,36
user research,29
collaborative whiteboard,25
usability testing,37
research repository,24
research repository,44
research repository,3
field research,41
collaborative whiteboard,36
research repository,29
collaborative whiteboard,2
collaborative whiteboard,15
field research,15
user research,39
research repository,17
research repository,6
collaborative whiteboard,15
usability testing,40
collaborative whiteboard,44
usability testing,46
usability testing,17
usability testing,21
field research,0
collaborative whiteboard,41
usability testing,40
research repository,37
collaborative whiteboard,44
field research,6
usability testing,10
research repository,13
field research,27
research repository,15
user research,19
user research,24
collaborative whiteboard,23
research repository,43
collaborative whiteboard,13
field research,27
field research,32
research repository,43
usability testing,29
field research,10
usability testing,1
collaborative whiteboard,40
collaborative whiteboard,23
field research,0
collaborative whiteboard,35
collaborative whiteboard,46
field research,11
user research,19
user research,29
collaborative whiteboard,15
collaborative whiteboard,21
collaborative whiteboard,31
research repository,26
usability testing,8
collaborative whiteboard,15
usability testing,12
user research,26
usability testing,10
usability testing,45
usability testing,28
user research,8
field research,41
user research,4
collaborative whiteboard,36
collaborative whiteboard,17
research repository,35
field research,34
collaborative whiteboard,22
user research,17
collaborative whiteboard,6
research repository,14
collaborative whiteboard,37
usability testing,31
research repository,30
user research,45
usability testing,7
usability testing,19
research repository,45
user research,19
usability testing,2
usability testing,31
field research,40
field research,13
field research,24
collaborative whiteboard,34
collaborative whiteboard,1
field research,21
user research,10
collaborative whiteboard,13
collaborative whiteboard,6
user research,18
user research,30
usability testing,5
collaborative whiteboard,11
usability testing,3
field research,14
collaborative whiteboard,36
collaborative whiteboard,36
user research,13
research repository,20
field research,33
field research,7
research repository,6
user research,30
usability testing,2
usability testing,1
usability testing,14
collaborative whiteboard,41
collaborative whiteboard,33
field research,33
field research,15
field research,40
field research,28
collaborative whiteboard,1
research repository,14
usability testing,0
research repository,17
collaborative whiteboard,25
field research,38
field research,16
usability testing,3
user research,31
usability testing,45
research repository,30
usability testing,11
collaborative whiteboard,43
field research,26
usability testing,30
user research,32
collaborative whiteboard,8
usability testing,31
research repository,10
research repository,27
collaborative whiteboard,20
user research,40
research repository,19
field research,33
research repository,25
research repository,32
usability testing,39
field research,24
usability testing,0
field research,26
field research,38
usability testing,10
collaborative whiteboard,5
user research,46
usability testing,2
usability testing,2
research repository,46
usability testing,29
collaborative whiteboard,7
field research,43
user research,31
