show_name,episode_name,airdate,category
Timothy Goes to School,Professor Fritz / Two Tutu Friends,2001-09-17,Animation (Children)
The Price is Right,September 17 2001,2001-09-17,Game Show
General Hospital,09.17.01 - Monday,2001-09-17,"Scripted (Drama, Medical)"
Passions,September 17 2001,2001-09-17,"Scripted (Drama, Romance, Supernatural)"
The Legend of Tarzan,Tarzan and the Giant Beetles,2001-09-17,Animation
Spyder Games,Episode 62,2001-09-17,Scripted (Drama)
One on One,Radioactive Platonic,2001-09-17,Scripted (Comedy)
The Parkers,Crazy Love,2001-09-17,Scripted (Comedy)
Girlfriends,Just Say No,2001-09-17,"Scripted (Comedy, Romance)"
Forensic Files,Bad Blood,2001-09-17,"Documentary (Crime, Thriller, Mystery)"
Road Rules,Swimming in the Dating Pool,2001-09-17,"Reality (Action, Adventure)"
Undressed,Episode 536,2001-09-17,"Scripted (Drama, Comedy)"
The Late Show with David Letterman,"Dan Rather, Regis Philbin",2001-09-17,Talk Show (Comedy)
The Tonight Show with Jay Leno,"Senator John Mccain, Crosby Stills & Nash",2001-09-17,Talk Show (Comedy)
Largo Winch,Sins of the Father,2001-09-17,"Scripted (Drama, Action, Crime)"
